# english,vietnamese
"A built-in feature of the system, used as delivered","Chức năng có sẵn của hệ thống, dùng nguyên bản, không sửa gì"
"A compartment holding shoes but with no known owner, needs checking","Ô đang có giày nhưng chưa biết của ai, cần rà soát"
"A device with the wrong clock corrupts every in and out time, so check it regularly","Máy sai giờ sẽ làm sai toàn bộ giờ vào ra, cần kiểm tra định kỳ"
A multi-sheet Excel file for checking against data kept outside the system,Bản Excel nhiều sheet để đối chiếu với dữ liệu ngoài hệ thống
A standard feature modified to match company regulations,Chức năng chuẩn nhưng đã được sửa cho phù hợp quy định công ty
A web application form candidates fill in and submit themselves,"Mẫu ứng tuyển trên web, ứng viên tự điền và gửi hồ sơ"
Adjust individual cases where the general rule does not fit,Điều chỉnh riêng cho trường hợp ngoại lệ mà quy tắc chung không đúng
Alerts are OFF by default; the administrator must choose recipients before enabling,"Cảnh báo mặc định để TẮT, người quản trị phải chọn người nhận trước khi bật"
Allowance for employees who leave mid-period when forecasting demand,Dự phòng cho số nhân viên nghỉ giữa kỳ khi dự báo nhu cầu
"Annual leave, unpaid leave, sick leave, maternity leave and compensatory leave","Phép năm, nghỉ không lương, nghỉ ốm, thai sản, nghỉ bù"
Applies to female workers as required by regulation,Áp dụng cho lao động nữ theo quy định
"Appraisal cycles, goals, appraisal criteria and feedback","Kỳ đánh giá, mục tiêu, tiêu chí đánh giá và phản hồi"
Assign a compartment to a visitor or long-term contractor,Gán ô cho khách hoặc nhà thầu làm việc dài ngày
Assign a compartment to someone on the employee list,Gán ô cho nhân viên trong danh sách nhân sự
"Assign a salary from an effective date, with bulk import from Excel","Gán mức lương theo ngày hiệu lực, có thể nhập hàng loạt từ Excel"
Assign a shift to an employee for a date range,Phân ca cho nhân viên theo khoảng thời gian
Attach the results returned by the hospital to each person's record,Đính kèm kết quả bệnh viện trả về vào hồ sơ từng người
Automatically emails the people in charge who is due and who is overdue,Tự gửi danh sách người sắp và đã đến hạn cho người phụ trách
"Basic salary, allowances and deductions","Lương cơ bản, các khoản phụ cấp và các khoản trừ"
"Build the list by department, group and designation","Lập danh sách theo bộ phận, nhóm và chức danh"
Calculated by tax bracket with personal and dependent relief,"Tính theo bậc thuế, có giảm trừ bản thân và người phụ thuộc"
